Name,THC
White Widow (Big Head Seeds),18 - 24 %
Dogstar Dawg,18 - 24 %
Wedding Cake (Big Head Seeds),20 - 25 %
Gnasha,20+%
Badazz Cookies OG,15-20%
Blue Ice OG,10-15%
Bruce Banger,15-20%
Critical Purple Kush,15-20%
Girl Scout Crack,15-20%
Lemonchello Haze,15-20%
Peyote Forum,20 + %
Peyote Wi-Fi CBD 2:1,6-8%
Julie’s Cookies,22 - 26%
White Choco Auto,18%
Peach Sherbert OG,Hoch
Capri Zun,Hoch
Hielo,10%
Pineapple Dream Edition,19%
ZKIT Kandy Dream Edition,18%
CBD Republik I,Niedrig
Kritical Max,18%
Glowstarz,18 - 22%
Humboldt x Seedstockers Blue Moby,14-22%
Grape Gushers,20%
Original Amnesia (Silent Seeds),15 - 23%
White Widow (Silent Seeds),14 - 20%
White Noise,18 - 22%
Blueberry Crystal Gelato,25%
Cookielato,17 - 20%
Original Glue,17-22%
Gorilla Zkittlez (Big Head Seeds),20%
Grand Daddy Purple (00 Seeds),18-20%
Apple Crumble,24 – 28%
Apple Gary,24 – 28%
Peach Pop,24 - 28%
Pink Lady,24 - 28%
Orange Zaffy,24% – 28%
Purple OG Punch,20 > 25%
Steve's Dream Queen,20-25%
Kyle`s Cherry AK,15-25%
Kyle's Skywalker OG,20%
Don MAC 1,23%
Cheese (Expert Seeds),17-20%
Gorilla Cheese,21-24%
Gorilla Ice Cream,17-20%
Gorilla SFV OG,21-24%
New York Diesel (Growers Choice),19.00%
Humboldt x Seedstockers Thunder Banana Reg.,23-26%
Amnesia Reg. (Nirvana Seeds),16-20%
Amnesia Haze Reg. (Nirvana Seeds),16-20%
Zkittlez (Spliff Seeds),24%
Pineapple Gum,High (15-20%)
Big Bud Reg.,13-17%
Spicy Temptation GPP Reg.,~10-20 %
Face Fat Auto,Sehr hoch (25%+)
Fatso Auto,Sehr Hoch (25%+)
Mr. Jekyll Kush Reg.,24 %
Respeto,20-30 %
Sweet Cherry Pie,18-25 %
Mangui Carot Reg.,20-30 %
Power Bud,15% - 20%
Mr. Kush Auto,Mittelhoch
Rucu Cucu OG,bis zu 30 %
Purple Punch x Lemon Drizzle,24-26 %
Old Jedi,22-25%
Bubbasquanch Auto,Keine Daten
Creme de la Chem Auto,Keine Daten
Skylar White Auto,16-24 %
"Sour Bubbly Auto,""19,5 %"""
Space Cookies,19 – 22%
Black Pearl,18% - 21%
Slurpicane FAST,Bis zu 28%
Wedding Cake Auto,19 - 23%
Blue Dream FAST,18 - 20%
Cali Critical Mass,17 - 22%
Gelato 41 BX,Sehr Hoch (25%+)
Forbidden Widow,Hoch (16-24%)
Medtonic CBD,Unter 1%
Glu CBD Auto,Minimal (0-4%)
Ice Cold,Sehr Hoch (25%+)
Lucky Lucy CBD,Minimal (0-4%)
Rainbow Mints,25%
Maharaja Haze,Hoch
Raspberry Cough,15-19%
