Name,THC
White Widow +,22 %
Frosted Guava Auto,25 %
Orange Bud 2.0,Sehr hoch (~20%)
Strawberry Banana Fast,+25%
"Baby Boom Auto,""18,66%"""
Blue Dream,16-20%
Royal Kush Automatic,13%
Blueberry Kush Auto,13% - 18%
Auto Jack Herer,15 %
Sunset Paradise,18 - 22%
Gorilla Glue (Auto Seeds),23%
Godzilla Glue,25%
Auto 00 Cheese,Hoch
Girl Scout Cookies (Seedstockers),Hoch
Red Hot Cookies,17 - 25 %
Red Mandarine F1 Fast Version,
Mamba Negra Auto CBD,5%
Lemon Venom,18%
Tangerine Kush (Kera Seeds),20%
Wedding Glue Auto (Seedstockers),Sehr Hoch
Kush Mintz,Hoch
NL x Big Bud Early Harvest,18%
Deep Candy (CBD),0.5-0.5%
Orange Apricot Glue XL Auto,18-25%
Mimosa Bruce Banner XL Auto,18-26%
Banana Jealousy,25%+
Sweet Critical,21%
Critical (Royal Queen Seeds),18%
Royal Bluematic,14%
"Erdpurt,""0,5 - 8%"""
Bubblegum XL,19%
Ketama Reg.,
Auto Blueberry (00 Seeds),18%
Purple Punch (Seedstockers),
Gorilla × White Widow,25%
Critical Lights,21%
Triple XL Auto,20+%
Auto White Widow (Pyramid Seeds),15%
Zkittlez Fast,23%
Wedding Cake Automatic,19%
Cereal Milk,24%
Forbidden Runtz Double XL Auto,25-30%
Amnesia Auto (Nirvana Seeds),16-20%
BSBs Cali Collection Blueberry Dream,22-25 %
Beldia Reg.,5-10 %
Chocolate Kush,22%
AK 48,14% - 16%
Royal Cheese FAST Version,17%
Haze Berry,Mittel
Serious 6,Hoch
Candy Kush Express (Fast Flowering),18%
Skunk XL,17%
Sweet Nurse Auto CBD,Niedrig
Auto Cannabis Light,
Strawberry Gum,
Sweet ZZ,22%
White Widow Auto (Seedstockers),
Auto Alaskan Purple,15-20%
Vision Gelato Auto,
Auto White Widow CBD,7%
Black Ghost OG,25%
Wedding Cake (Garden of Green),25%
Expert Mac 1,23%
Watermelon,22%
"Pulp Friction,""26,5%"""
Royal Runtz,27%
Jungle Lava,33%
Apple Fritter Automatic,23%
Mountain Gold reg.,Hoch (genaue Prozentzahl variabel)
Medical Mass CBD,10%
Pineapple Kush (Royal Queen Seeds),18%
Kilimanjaro Reg.,
Royal Cookies,23%
Amnesia (Advanced Seeds),18%
"Lebanese Reg.,""0,5 - 8%"""
Fruit Punch,
BCN Power Plant,
Auto Northern Lights,18%
"Joanne's CBD,""0,25 - 0,75 %"""
Black Lights CBD Auto,12-15%
Peanut Butter Breath FAST,18 - 21%
Tonic Ryder,7-10%
Platinum Mimosa Cookies Double XL Auto,27-30 %
Double Grape Auto,Hoch (16-24%)
Sherbet Moonrocks,33%
Fruit Spirit,18%
AK Kush Express,20%
Blue Cheese Automatic (Royal Queen Seeds),16%
Diesel Automatic,14%
Blue Mystic,18%
Zkittlez (Advanced Seeds),23%
BCN Critical XXL Fast,
Mother Gorilla,23%
O.G. Kush Auto,Hoch
Purple Kush 1:1 Auto,7%
Auto Northern Lights XXL,18%
Shogun,25%
Fortune Cookie,22-26%
CBD Northern Lights,Sehr Niedrig
Back To The Future #2 Auto,27%
Titan F1 Auto,Ultra-hoch
ACE Mix Reg.,18 - 20%
Big Bud (Sensi Seeds),Medium / Hoch
"Sweet Pure Auto CBD,""0,4-0,9%"""
Auto Pink Runtz,16-19%
Haze Berry Auto,13%
Super Skunk Auto (Seedstockers),Hoch
Banana Sherbet (Original Sensible Seeds),28%
Auto Forbidden Cherry,Hoch
Purple Queen Automatic,16%
"Chemdog (Green House Seeds),""24,50%"""
Cheese Auto (Barney’s Farm),20%
California Octane,26%
Auto Critical Lemon CBD,13%
Auto Melonade Runtz,Sehr hoch (20-25%)
Granddaddy Purple,20%
Auto California Kush,15%
Solomatic CBD,1%
Freakshow Reg.,18%
Foster,35%
Cookies Gelato Automatic,23%
Cherry Pie,22%
Critical Mass Fast (Advanced Seeds),22%
Crazy Roses FAST Version,27-30%
"AC DC Cookies (0,5/20),""0,4 - 0,6 %"""
Royal Creamatic,15%
Girl Scout Cookies Auto (Auto Seeds),24%
Girl Scout Cookies Auto (Original Sensible Seeds),20%
Santa Marta Haze Auto,Hoch
Green Gelato Auto,24%
Garlic Budder,28-32%
RS11,27-30%
Trop Cherry,30%
Northern Light x Big Bud,18%
South African Kwazulu,15-20%
Dos Si Dos Auto,20%
Fullgas!,28%
Skywalker Haze,Hoch
Watermelon Auto (PowerStrains),20%
Frosted Guava,33%
"Arjan's Ultra Haze #2 (Mango Haze),""22,53%"""
OG Kush Auto (Barney’s Farm),20-24%
Alaskan Bananaberry Auto,16 - 24%
Pineapple Chunk,25%
Royal Jack Automatic,16%
Critical Kush (Royal Queen Seeds),20%
BCN Power Plant Auto,Sehr Hoch
Fat Banana,
Apricot Candy,18 - 22%
Persian Pie,27%
Shot Adrenaline Auto,
Bubble Kush Automatic,16%
Amnesia Ryder,
Critical Mass (Advanced Seeds),22%
"Tatanka Pure CBD,""0,15 - 0,25%"""
Zkittels Auto,25%
Skywalker OG Auto,23%
Grandaddy Purple (PowerStrains),20%
Biscotti (Barney’s Farm),25-27%
Auto Gorilla Blue,20%
Super Skunk (Seedstockers),Hoch
Tonic Ryder CBD,
Hulkberry Auto,21%
Amnesia Haze Auto (Expert Seeds),21%
Runtz x Layer Cake,27%
Gelato #33 Fast Version,24%
Epsilon F1 Auto,Sehr hoch
"King's Juice,""26,87%"""
Apple Fritter,24%
Bubba Kush,29%
Royal Highness,14%
Royal Gorilla Automatic,20%
Superior Blackberry Gum,23%
B-45,30-32%
Mimosa Automatic,21%
Ice Cream Cake,20-25%
Black Orchid,30%
Auto Space Cookies CBD,>8%
Chocolate Skunk,20%
Green Gelato,27%
Runtz,25 %
Freakshow,18%
White Widow (PowerStrains),16-19%
Watermelon Automatic,20%
Auto Bruce Banner XXL,24%
Royal Critical Automatic,14%
Auto Mandarin Haze,
AMG,22%
Sweet Zombie,23%
Oracle Octane,+35%
Lemon Haze Auto (Barney’s Farm),20-22%
Amnesia Haze Automatic,19%
Wedding Gelato,25%
Auto Banana Cookies,24%
AK-49 (Vision Seeds),20%
Future Island,+34%
Black Orchid Auto,25 %
Guava Auto,28%
Silver Haze,20-23%
Auto Blue Ace CBD,4 - 8%
Chocolate Haze (Royal Queen Seeds),20%
Monster Profit,22%
AK-49 Auto (Vision Seeds),
Auto Gorilla,25%
Extreme Impact Auto,21%
Banana Punch Auto (PowerStrains),18%
Royal Haze Automatic,15%
"Afrodite,""21,93%"""
Afghan Kush Special,
Wild Thailand,
Ananas Funk,23 - 26%
Harlequin CBD,0.2 - 0.5%
Cookie Mint,20%
Limited Edition Mac 'N Cheese,27-30%
Colombian Gold,
Auto Pineapple Glue,22%
Wedding Cake (Original Sensible Seeds),25%
"Blueberry (Dutch Passion),""19,5%"""
Afghan Kush x White Widow,
Gorilla Blue,
Golden Lemon Haze,23%
Blue Sunset Sherbert,28%
"Charlottes Dream CBD,""0, 3 - 0,6%"""
Calypso Sunrocks,+31%
King Louis Garcia,30%+
White Widow x Big Bud,
Royal Medic CBD,10%
White Widow Automatic (Royal Queen Seeds),14%
Apple Fritter Auto,27-30%
Apple Fritter (Advanced Seeds),25%
Painkiller XL,9%
Blue Zushi (Original Sensible Seed Company),30%
Sour Tangie,22%
Afghani Special Reg.,15-20%
Lemon Haze Original,19%
Dankberry,+35%
Pineapple Express (Barney´s Farm),23-26%
Gorilla Glue Auto (PowerStrains),24%
Cherry Zoap Auto,30%+
Gelato #33,
Critical Orange Punch,20%
Moby Dick (Barney's Farm),27%
Afghan Skunk,18%
Golden Tiger,25 - 30%
Purple Queen,22%
Gorilla Zkittlez Auto (Barney's Farm),20%
Amnesia Haze (PowerStrains),20-25%
White Widow Auto,16%
Banana Punch (PowerStrains),24-28%
Wedding Cake Auto (PowerStrains),20%
Lemon Shining Silver Haze,21%
Euphoria CBD,9%
Honey Cream (Fast Flowering),16%
Cash Cow,+32%
Wedding Cake (PowerStrains),25%
Frozen Cherry Runtz,30%+
Royal AK Automatic,15%
The Sin,37%
Liberty Haze,bis 25%
Gorilla Zkittlez,24%
Mr. Kush,7 %
Auto Imperium X,28%
Gorilla Sherbet F1 Early,18-20%
"Cannafuel CBD +,""0,5%"""
Black Beauty CBD,0.1 - 0.2%
Amnesia Haze Auto (PowerStrains),18%
Sour Diesel (Royal Queen Seeds),19%
Royal Gorilla,27%
Auto Skywalker Haze,20-25%
Lemon Orange,29%
Blue Zushi,30%+
Northern Light Automatic,14%
Stress Killer Auto CBD,11%
Shining Silver Haze,21%
Amnesia Auto (Seedstockers),
Badazz OG Cheese,15-20%
Afghan Kush Ryder,
Mimosa x Orange Punch Auto,21 - 23%
G13 Haze,Hoch
Tropicanna Poison F1 Fast Version,
Northern Light (Royal Queen Seeds),18%
Blackberry Gum Auto,Hoch
Afghan Kush x Black Domina,
Amnesia Lemon Kush,21%
Runtz Gum,28%
Northern Lights Auto (Seedstockers),
Cherry MAC Muffin,30%+
Big Bud (Seedstockers),
Agartha,<2%
Frozen Black Cherry,+35%
"Cannaboom CBD +,""0,3%"""
Quick One Auto,13%
Hella Jelly (Jelly Rancher),26-30%
Dos Si Dos 33,22-28%
Gorilla Zkittlez,24%
Runtz Muffin,29%
60 Day Grapefruit Auto,20%
Easy Bud,12%
Purple Haze Auto (PowerStrains),16%
Special Kush #1,17%
Mimosa x Orange Punch,30%
Apricot Oreoz,36%
The White OG,20-24%
Northern Lights (Seedstockers),
5Star Auto Strawberry Haze,18 %
Original Oreoz,37% (Testergebnis)
Amnesia (Seedstockers),
5Star Auto Orange Bud,20 %
White Widow (Royal Queen Seeds),19%
Big Bud Auto,Hoch
Afghan Kush Auto (PowerStrains),22%
AK420,
BCN Critical XXL Auto,
Alien Moonrocks,33%
Afghan Kush Early Harvest,
BCN Critical XXL,
Purple Haze Auto (Original Sensible Seeds),17%
AK420 Auto,
Ata Tundra Reg.,
"8 Ball Kush,""15 - 18,5%"""
Blueberry Gelato,20 +%
Wild Thailand Reg.,22%
5’S (Five Senses),
Gorilla Daywrecker (Gorilla OG),Hoch
Strawberry Ice,
Heaven's Gate CBD,4-6%
AK 47,18%
Gorilla (Trikoma Seeds),25%
"Auto CBG Nectar,""0,2%"""
AK 47 Automatik,17%
Oreoz x Orange Punch,25 %
Apple Jester,24 – 28%
Don White Widow,bis zu 23%
Sour Diesel Auto (Barneys Farm),23%
Ghost Toof Auto,Keine Daten
Hubbabubbahaze Auto,Keine Daten
Northern Cheese Haze Auto,Hoch (16-24%)
Sundae Thumper Auto,Keine Daten
White Crack Auto,Keine Daten
Skywalker OG Gelato Auto,17-22 %
Twilight,10-15%
Kushadelic Reg.,
Monster Gorilla Glue,26%
Monster Gelato,26%
Early Durban Reg.,18%
CBD Cherry Kush,Hoch
Monster Moby,25%
Night Nurse Reg.,26%
The Purps,23%
Sour Peaches,Mittel-Hoch
Hazenberg AM Auto,16 - 21%
O.G. Kush (Seeds Genetics),20%
Cookies (Seeds Genetics),23%
B.I.G. Auto,10-15%
Mazari Auto,15-20%
Cookies Chill CBD 2:1,5-10%
Apple Crasher,24 – 28%
Durban Poison Reg. (Nirvana Seeds),15% - 20%
White Russian Reg.,20%
Monster Bruce Banner Auto,25%
Monster Gelato Auto,26%
Incredible Bulk Auto,
Serious 6 Reg.,Hoch
Thunderstruck,Hoch
Dosi Cookies Reg.,30%
THC Bomb x Pre98 Bubba Kush,20 - 22%
Ice Eyes Auto,17 - 22%
"Dr. Hypno CBD Auto,""0,40 - 0,80%"""
White Widow (Seeds Genetics),19%
Bubblegum (Seeds Genetics),20%
Froot by the Foot Auto,16-26%
Fire OG Kush,20+%
Humboldt x Seedstockers Panty Punch Reg.,14 -22%
Golden Pineapple S1,25+%
Don Biscotti,28%
OG Kush (Growers Choice),18-20% up to 24%
Auto Speed Haze,Medium (10% – 15%)
Tahoe Cookies Auto,16 - 24%
Face Gas AUTO,Sehr Hoch (22-26%)
MK-Ultra Kush,22%
El Alquimista Auto,
CBD-Chronic,5.8%
Brazil Amazonia Reg.,
Cobra Reg.,19%
Mauritius x Ethiopian Reg.,8 - 13%
Honey Rock,Hoch
White Widow Original,
Auto Sunset Vibes,18 - 22%
Jamaican Berry,15-20%
Heaven's Gate Reg.,4-6%
Somango (Seeds Genetics),18%
Cheese (Seeds Genetics),17%
Alien Fruit,24 – 28%
Skunk #1 Reg. (Nirvana Seeds),15-20%
Top-44 Reg.,15-20%
EZ Bake AUTO,Sehr Hoch (25%+)
Biddy Early,Hoch
24 Carat,
Crystal Ball Auto,17 - 20%
Critical 2.0,18%
Cannacotta,26%
MAC 1 Auto,27-30%
Auto Wedding Crasher,15-20%
Alaskan Thunderfuck (Geneseeds),24 %
"Blueberry Reg.,""19,5%"""
CBD Enriched Warlock,4%
"Pakistan Valley Reg.,""21,2%"""
CBD Lemon Potion Auto,8%
Lamponi,20 - 25%
Cream Caramel (Seeds Genetics),19%
Purple Kush Autoflower,22%
Big Bud Autoflower,18%
Critical + (Growers Choice Seeds),Hoch
Fuel OG Reg.,15 - 20%
Gush Mints S1,30%
Aeroz,24 – 28%
Golden Tiger x Panama,21-26%
Afghan Reg. (Spliff Seeds),Hoch
"Amnesia (GHS),""25,00%"""
Dr.Hood CBD 25:1,>1%
Auto Blue Diesel,16%
Bluehell CBD,<0.3%
Auto Collection,18 - 22%
Original G13 Auto,21%
Blueberry Reg. (Spliff Seeds),Hoch
Afghan Lemon,Hoch
Bubba Haze Reg.,
Amnesia Reg.,25%
Vanilla Frosting Auto,25%
"Zenith,""18,49%"""
Kosher Kush (Reserva Privada),< 29%
Girl Scout Cookies Xtrm,
Mama Thai Reg.,22%
Cinderella 99 (Growers Choice Seeds),22%
Gelonade,20%
Hash Cake,27%
White Widow Auto CBD,5 - 8%
Wild Thailand Ryder,20%
Auto Nyc Diesel,14%
Auto Banana Monkey,22%
Ken's Original Grand Daddy Purple Reg.,17 - 23%
Ruderalis Indica Reg.,18 - 20%
CBD Critical Mass,5-10%
Auto Bubble Gum,12%
Auto Afghan Mass XXL,17%
OG Kush Original (PowerStrains),18-19%
Applez and Bananaz,27-30%
Early Skunk Reg.,20 - 23%
Incredible Bulk,
Amnesia Haze (Expert Seeds),22%
CBD Mango Haze,6-8%
L.A Banana Cake,+25%
Super Critical Bud CBD,25%
Auto Acapulco Gold,17-20%
Auto Northern Lights CBD,8%
Biscotti x Purple Punch,30%
Alaskan Purple,15 - 20%
CBD Oil Maker,0.8%
Silver Haze Original (PowerStrains),18-20%
Superior Panty Punch Auto,bis zu 30%
Strawberry Cola Sherbet F1 Fast Version,18-22%
Girl Scout Cookies (The Cali Connection),Hoch
"Charlottes Dream CBD Auto,""0, 3 - 0,6%"""
"King’s Tart,""25,68%"""
"Purplematic CBD,""0,5%"""
Alien OG,28%
Sweet Peach Auto CBD,9%
White Widow Auto (PowerStrains),18%
Cobra,19%
Green Poison F1 Early,17-20%
Dance World CBD,12%
Auto Winweed CBD,9%
Anesthesia CBD,10 %
KC33 Reg.,20-22%
Seriotica,25 - 28%
Pellezino Cookies,33%
ACE Mix,18 - 20%
Northern Lights Reg. (Nirvana Seeds),14% - 19%
Killer Kush F1 Early,20-25%
Amnesia Early Harvest,
Critical+ 2.0,17 - 22%
Creamy Caramel F1 Early,18-20%
Afghan Kush Reg.,
Afghan Kush x Skunk,
Gelato Auto (PowerStrains),26%
Pineapple Sativa Auto,14%
Special Queen #1,18%
Royal Dwarf,13%
2 Fast 2 Vast Auto,
Afghan Kush (World of Seeds),
